ID;T_ID;T_Gen;T_sex;Month;Season;Year;Location;Beat;Prey_code_DV;P_Sp_code;P_species;Age_group;P_Sex_Code;P_Sex;Remarks;reserve_cl;reserve_nm;2km_OF_Village;250_OF_water
411;T5;1;2;11;W;2011;BILHATA;507;D;1;COW;YOUNG;3;UNKNOWN;NO REMARKS;2;core_area;1;0
412;T5;1;2;11;W;2011;GANGAUA;476;W;7;WILDPIG;ADULT;1;MALE;NO REMARKS;2;core_area;0;0
413;T5;1;2;12;W;2011;LALAR;488;W;4;NILGAI;UNKNOWN;2;FEMALE;NO REMARKS;2;core_area;0;0
414;T5;1;2;12;W;2011;JHALAR;483;D;2;BUFFALO;ADULT;2;FEMALE;NO REMARKS;2;core_area;0;0
415;T5;1;2;1;W;2012;KHAMRIA;482;W;7;WILDPIG;ADULT;1;MALE;NO REMARKS;2;core_area;0;0
416;T5;1;2;1;W;2012;MAHADEVGHAT;471;D;1;COW;ADULT;1;MALE;NO REMARKS;2;core_area;0;0
417;T5;1;2;1;W;2012;GANGAUA;473;D;1;COW;ADULT;1;MALE;NO REMARKS;2;core_area;0;0
418;T5;1;2;1;W;2012;GANGAUB;479;W;5;SAMBAR;ADULT;2;FEMALE;NO REMARKS;2;core_area;0;0
419;T5;1;2;2;W;2012;MALEkju;504;D;1;COW;ADULT;1;MALE;NO REMARKS;2;core_area;0;0
420;T5;1;2;2;W;2012;BADGADI;493;D;1;COW;YOUNG;2;UNKNOWN;MALE;2;core_area;0;0
421;T5;1;2;2;W;2012;KHAMRIA;482;W;5;SAMBAR;ADULT;2;FEMALE;NO REMARKS;2;core_area;0;0
422;T5;1;2;2;W;2012;JHALAR;499;D;1;COW;ADULT;2;FEMALE;NO REMARKS;2;core_area;0;0
423;T5;1;2;2;W;2012;JHALAR;483;D;1;COW;ADULT;2;FEMALE;NO REMARKS;2;core_area;0;1
424;T5;1;2;3;S;2012;KHAMRIA;482;W;6;CHEETAL;ADULT;1;MALE;NO REMARKS;2;core_area;0;1
425;T5;1;2;3;S;2012;GANGAUA;474;D;1;COW;ADULT;1;MALE;NO REMARKS;2;core_area;0;0
426;T5;1;2;3;S;2012;GANGAUA;472;D;1;COW;YOUNG;2;UNKNOWN;MALE;2;core_area;0;1
427;T5;1;2;3;S;2012;GANGAUA;474;D;1;COW;ADULT;1;MALE;NO REMARKS;2;core_area;0;0
428;T5;1;2;4;S;2012;GANGAUB;477;W;5;SAMBAR;ADULT;1;MALE;4 DAYS OLD KILL;2;core_area;1;0
429;T5;1;2;4;S;2012;GANGAUB;477;D;1;COW;ADULT;1;MALE;NO REMARKS;2;core_area;0;1
430;T5;1;2;5;S;2012;JHALAR;483;D;1;COW;ADULT;1;MALE;NO REMARKS;2;core_area;0;1
431;T5;1;2;5;S;2012;JHALAR;483;W;6;CHEETAL;ADULT;1;MALE;NO REMARKS;2;core_area;0;1
432;T5;1;2;6;S;2012;GANGAUA;473;D;2;BUFFALO;ADULT;2;FEMALE;NO REMARKS;2;core_area;0;1
433;T5;1;2;6;S;2012;GANGAUA;476;W;5;SAMBAR;ADULT;1;MALE;NO REMARKS;2;core_area;0;0
434;T5;1;2;6;S;2012;GANGAUA;472;D;1;COW;ADULT;1;MALE;NO REMARKS;2;core_area;0;1
435;T5;1;2;7;R;2012;GANGAU;476;D;1;COW;ADULT;1;MALE;NO REMARKS;2;core_area;0;0
436;T5;1;2;8;R;2012;KHAMRIA;482;W;7;WILDPIG;ADULT;2;FEMALE;NO REMARKS;2;core_area;0;0
437;T5;1;2;8;R;2012;GANGAU;475;D;1;COW;ADULT;1;MALE;NO REMARKS;2;core_area;0;0
438;T5;1;2;8;R;2012;KHAMRIA;496;D;1;COW;ADULT;1;MALE;NO REMARKS;2;core_area;0;0
439;T5;1;2;9;R;2012;KHAMRIA;496;D;1;COW;ADULT;1;MALE;NO REMARKS;2;core_area;0;0
440;T5;1;2;9;R;2012;BADGADIb;492;W;5;SAMBAR;ADULT;1;MALE;1 DAY OLD KILL;2;core_area;0;0
441;T5;1;2;9;R;2012;KHAMRIA;481;W;4;NILGAI;UNKNOWN;1;MALE;NO REMARKS;2;core_area;0;0
442;T5;1;2;10;R;2012;BADGADI;493;D;1;COW;YOUNG;3;UNKNOWN;MALE;2;core_area;0;0
443;T5;1;2;10;R;2012;GANGAUB;478;D;1;COW;ADULT;2;FEMALE;NO REMARKS;2;core_area;0;0
444;T5;1;2;10;R;2012;MAHADEVGHAT;473;D;1;COW;ADULT;2;FEMALE;NO REMARKS;2;core_area;0;0
445;T5;1;2;11;W;2012;BADGADI;495;W;6;CHEETAL;ADULT;2;FEMALE;NO REMARKS;2;core_area;0;0
446;T5;1;2;12;W;2012;GANGAUA;476;D;2;BUFFALO;ADULT;2;FEMALE;NO REMARKS;2;core_area;0;0
447;T5;1;2;12;W;2012;KHAMRIA;482;D;1;COW;ADULT;2;FEMALE;A COW AND A CALF WERE FOUND;2;core_area;0;1
448;T5;1;2;12;W;2012;KHAMRIA;482;D;1;COW;YOUNG;3;UNKNOWN;KILLED ALONG WITH MOTHER;2;core_area;0;1
449;T5;1;2;1;W;2013;BADGADI;495;D;1;COW;ADULT;2;FEMALE;ALONG WITH P-212;2;core_area;0;0
450;T5;1;2;1;W;2013;BADGADI;495;D;1;COW;YOUNG;3;UNKNOWN;ALONG WITH P-212;2;core_area;0;0
451;T5;1;2;1;W;2013;JHALAR;483;D;1;COW;ADULT;2;FEMALE;NO REMARKS;2;core_area;0;1
452;T5;1;2;2;W;2013;JHALAR;483;D;1;COW;ADULT;2;FEMALE;1 DAY OLD KILL;2;core_area;0;0
453;T5;1;2;3;S;2013;JHALAR;483;W;6;CHEETAL;ADULT;3;UNKNOWN;NO REMARKS;2;core_area;0;0
454;T5;1;2;4;S;2013;KHAMRIA;482;D;1;COW;ADULT;2;FEMALE;NO REMARKS;2;core_area;0;1
455;T5;1;2;5;S;2013;JHALAR;483;W;7;WILDPIG;UNKNOWN;3;UNKNOWN;NO REMARKS;2;core_area;0;1
456;T5;1;2;5;S;2013;GANGAU;476;D;1;COW;ADULT;2;FEMALE;NO REMARKS;2;core_area;0;1
457;T5;1;2;5;S;2013;JHALAR;483;W;5;SAMBAR;ADULT;1;MALE;NO REMARKS;2;core_area;0;0
458;P111;2;1;1;W;2012;KATARIA;1332;D;2;BUFFALO;ADULT;2;FEMALE;KILL IS OF 20.01.2012. SOUNDS HEARD WHILE CATCHING A BUFFALO;2;core_area;0;0
459;P111;2;1;2;W;2012;BUDH ROAD;530;W;7;WILDPIG;UNKNOWN;3;UNKNOWN;NO REMARKS;2;core_area;0;0
460;P111;2;1;2;W;2012;KHARIYA;527;W;5;SAMBAR;ADULT;1;MALE;NO REMARKS;2;core_area;0;0
461;P111;2;1;2;W;2012;SOUTH HINAUTA;535;W;4;NILGAI;UNKNOWN;1;MALE;NO REMARKS;2;core_area;0;0
462;P111;2;1;3;S;2012;BBC;1331;W;5;SAMBAR;ADULT;1;MALE;NO REMARKS;2;core_area;0;0
463;P111;2;1;3;S;2012;GAHDARA;1326;W;5;SAMBAR;ADULT;1;MALE;NO REMARKS;1;buffer_zone;1;0
464;P111;2;1;3;S;2012;KATARIA;1322;W;5;SAMBAR;ADULT;1;MALE;NO REMARKS;2;core_area;0;0
465;P111;2;1;4;S;2012;SOUTH HINAUTA;535;D;1;COW;ADULT;1;MALE;NO REMARKS;2;core_area;0;0
466;P111;2;1;4;S;2012;BBC;1331;W;5;SAMBAR;ADULT;1;MALE;NO REMARKS;2;core_area;0;0
467;P111;2;1;4;S;2012;SOUTH HINAUTA;535;D;1;COW;ADULT;1;MALE;NO REMARKS;2;core_area;0;0
468;P111;2;1;5;S;2012;KHARIYA;527;W;5;SAMBAR;ADULT;1;MALE;NO REMARKS;2;core_area;0;1
